,image,abs_aspect_ratio,shape,aspect_adjust,adjust_aspect_ratio,adjust_shape,handle
102,trinary0001-3626-2876SDS_Wash_I_E07.tif,4.239316239316239,"[117, 496]",False,4.239316239316239,"[117, 496]",handle
103,trinary0001-3630-2170SDS_Wash_I_E09.tif,4.597122302158273,"[139, 639]",False,4.597122302158273,"[139, 639]",handle
104,trinary0001-3645-2608SDS_Wash_I_E05.tif,9.083333333333334,"[60, 545]",True,1.0,"[428, 428]",handle
105,trinary0001-3709-1504SDS_Wash_U_G07w2_combo.tif,1.723809523809524,"[315, 543]",False,1.723809523809524,"[315, 543]",handle
106,trinary0001-3813-1779SDS_Wash_I_E05.tif,7.7105263157894735,"[76, 586]",True,1.0,"[468, 468]",handle
107,trinary0002-0774-2425SDS_Wash_I_E10.tif,2.7159763313609466,"[169, 459]",False,2.7159763313609466,"[169, 459]",handle
108,trinary0002-0794-2252SDS_Wash_U_E08w2_combo.tif,1.4956268221574345,"[343, 513]",False,1.4956268221574345,"[343, 513]",handle
109,trinary0002-0821-1625SDS_Wash_I_E10.tif,1.9024390243902438,"[246, 468]",False,1.9024390243902438,"[246, 468]",handle
110,trinary0002-0990-2167SDS_Wash_I_E10.tif,2.7534883720930234,"[215, 592]",False,2.7534883720930234,"[215, 592]",handle
111,trinary0002-1033-0947SDS_Wash_U_B08w2_combo.tif,1.101123595505618,"[490, 445]",False,1.101123595505618,"[490, 445]",handle
112,trinary0002-1197-3346SDS_Wash_U_E05w2_combo.tif,1.6308724832214765,"[486, 298]",False,1.6308724832214765,"[486, 298]",handle
113,trinary0002-1309-2363SDS_Wash_I_E10.tif,2.8842105263157896,"[548, 190]",False,2.8842105263157896,"[548, 190]",handle
114,trinary0002-1384-2629SDS_Wash_U_B05w2_combo.tif,6.6,"[85, 561]",True,1.0,"[457, 457]",handle
115,trinary0002-1387-1690SDS_Wash_U_G08w2_combo.tif,13.159090909090908,"[44, 579]",True,1.0,"[441, 441]",handle
116,trinary0002-1444-1556SDS_Wash_I_E10.tif,1.7879746835443038,"[316, 565]",False,1.7879746835443038,"[316, 565]",handle
117,trinary0002-1521-1918SDS_Wash_U_B05w2_combo.tif,3.840764331210191,"[603, 157]",False,3.840764331210191,"[603, 157]",handle
118,trinary0002-1561-0635SDS_Wash_U_E08w2_combo.tif,2.743455497382199,"[524, 191]",False,2.743455497382199,"[524, 191]",handle
119,trinary0002-1657-3390SDS_Wash_U_B08w2_combo.tif,2.138996138996139,"[259, 554]",False,2.138996138996139,"[259, 554]",handle
120,trinary0002-1680-2065SDS_Wash_U_E05w2_combo.tif,7.594936708860759,"[600, 79]",True,1.0,"[480, 480]",handle
121,trinary0002-1939-2163SDS_Wash_U_G08w2_combo.tif,10.728813559322035,"[59, 633]",True,1.0,"[489, 489]",handle
122,trinary0002-2060-0762SDS_Wash_U_G05w2_combo.tif,1.3981762917933132,"[460, 329]",False,1.3981762917933132,"[460, 329]",handle
123,trinary0002-2105-3148SDS_Wash_U_E08w2_combo.tif,4.645161290322581,"[124, 576]",False,4.645161290322581,"[124, 576]",handle
124,trinary0002-2127-0519SDS_Wash_U_G05w2_combo.tif,2.62,"[524, 200]",False,2.62,"[524, 200]",handle
